epoch: 0 训练结束：avg_loss:23.8728 , avg_acc:0.0537
epoch: 1 训练结束：avg_loss:4.6101 , avg_acc:0.0596
epoch: 2 训练结束：avg_loss:3.5978 , avg_acc:0.0573
epoch: 3 训练结束：avg_loss:3.4516 , avg_acc:0.0629
epoch: 4 训练结束：avg_loss:3.3807 , avg_acc:0.0671
epoch: 5 训练结束：avg_loss:3.3793 , avg_acc:0.0675
epoch: 6 训练结束：avg_loss:3.3465 , avg_acc:0.0717
epoch: 7 训练结束：avg_loss:3.3464 , avg_acc:0.0724
epoch: 8 训练结束：avg_loss:3.3472 , avg_acc:0.0721
epoch: 9 训练结束：avg_loss:3.3354 , avg_acc:0.0748
epoch:10 训练结束：avg_loss:3.3302 , avg_acc:0.0779
epoch:11 训练结束：avg_loss:3.3233 , avg_acc:0.0793
epoch:12 训练结束：avg_loss:3.3269 , avg_acc:0.0799
epoch:13 训练结束：avg_loss:3.3218 , avg_acc:0.0743
epoch:14 训练结束：avg_loss:3.3166 , avg_acc:0.0830
epoch:15 训练结束：avg_loss:3.3163 , avg_acc:0.0821
epoch:16 训练结束：avg_loss:3.3231 , avg_acc:0.0791
epoch:17 训练结束：avg_loss:3.3164 , avg_acc:0.0783
epoch:18 训练结束：avg_loss:3.3116 , avg_acc:0.0833
epoch:19 训练结束：avg_loss:3.3038 , avg_acc:0.0835
epoch:20 训练结束：avg_loss:3.3049 , avg_acc:0.0801
epoch:21 训练结束：avg_loss:3.2843 , avg_acc:0.0852
epoch:22 训练结束：avg_loss:3.2894 , avg_acc:0.0884
epoch:23 训练结束：avg_loss:3.2762 , avg_acc:0.0883
epoch:24 训练结束：avg_loss:3.2763 , avg_acc:0.0894
epoch:25 训练结束：avg_loss:3.2790 , avg_acc:0.0882
epoch:26 训练结束：avg_loss:3.2679 , avg_acc:0.0913
epoch:27 训练结束：avg_loss:3.2821 , avg_acc:0.0887
epoch:28 训练结束：avg_loss:3.2714 , avg_acc:0.0935
epoch:29 训练结束：avg_loss:3.2790 , avg_acc:0.0889
epoch:30 训练结束：avg_loss:3.2791 , avg_acc:0.0869
epoch:31 训练结束：avg_loss:3.2725 , avg_acc:0.0919
epoch:32 训练结束：avg_loss:3.2726 , avg_acc:0.0902
epoch:33 训练结束：avg_loss:3.2601 , avg_acc:0.0969
epoch:34 训练结束：avg_loss:3.2479 , avg_acc:0.0965
epoch:35 训练结束：avg_loss:3.2585 , avg_acc:0.0967
epoch:36 训练结束：avg_loss:3.2595 , avg_acc:0.0939
epoch:37 训练结束：avg_loss:3.2489 , avg_acc:0.0969
epoch:38 训练结束：avg_loss:3.2387 , avg_acc:0.0991
epoch:39 训练结束：avg_loss:3.2387 , avg_acc:0.1011
epoch:40 训练结束：avg_loss:3.2397 , avg_acc:0.1009
epoch:41 训练结束：avg_loss:3.2128 , avg_acc:0.1024
epoch:42 训练结束：avg_loss:3.2018 , avg_acc:0.1100
epoch:43 训练结束：avg_loss:3.2041 , avg_acc:0.1121
epoch:44 训练结束：avg_loss:3.2130 , avg_acc:0.1056
epoch:45 训练结束：avg_loss:3.2083 , avg_acc:0.1051
epoch:46 训练结束：avg_loss:3.2077 , avg_acc:0.1014
epoch:47 训练结束：avg_loss:3.2124 , avg_acc:0.1097
epoch:48 训练结束：avg_loss:3.1958 , avg_acc:0.1103
epoch:49 训练结束：avg_loss:3.2023 , avg_acc:0.1106
